Review,FoodborneAsBoolean
"This one-star review is for the FOOD only. Over-priced and mostly microwaved. In a word: disgusting.

The short of it: four of us went there for lunch today, three of us are sick or nauseated in one way or another. 

I got the avocado and egg on an english muffin off their ""brunch all day"" menu. From what I could tell, the entire sandwich had been put together hours earlier, and then the entire thing was microwaved to be heated. 

They microwaved a toasted english muffin. They microwaved a sliced avocado. They microwaved sprouts! It was disgusting. Besides the texture of rubberized food, it just tasted gross. Complete waste of $5.50.

The people who work there are super-friendly, though. And I thought the cold brew was fantastic.",1.0
"NEVER AGAIN EVER.

The decor of the place isn't that great, but I've been to restaurants where the food was so great that the decor didn't even matter.

My sister ordered the california roll and when I tried hers it tasted ""off"", definitely not fresh. I didn't comment on the taste because i wanted her to be able to enjoy her meal even though I now braced for the nastiness of my meal.

I ordered the Udon with tempura. Safe choice right? NOT EVEN. The soup tasted fine, but again the miso soup that came with the meal tasted ""off.""

Lo and behold i get home and as I lay down I get super dizzy and run to the bathroom where I puke out chunks of the miso and udon. My sister didn't barf until the following day.

To the staff of Sushi Island, you were all very sweet during our experience but I have never gotten so sick from sushi in my entire life. Health and Safety needs to live in close proximity to y'all.",1.0
"Came here on a Tuesday night for the sushi bar omakase. The place was small and cozy. The staff was very attentive. Chef Ichmura works very slowly and quietly. I do wish the courses came out a little quicker but because the chef was the only one preparing the dishes it's understandable that it was a little slow 
The quality of fish was great or so we thought. We actually ended up getting sick the next day. It was too much of a coincidence to not be from the dinner. It could been an off night.",1.0
Took them an hour and 40 minutes to make and deliver 2 salads and a soup four blocks away. Once we got our order it was wrong and the soup got us sick. Never again will I order or walk into this place in the slopes again.,1.0
"I was recently here for a birthday party. The food ranged from very good to ok. The reason for such a low rating is that a bunch of us who ate there got very sick the next day, so it seems very likely that something at the restaurant sickened us. I'm not sure it was the food, though, since otherwise everyone should have been sick (we more or less all ate the same thing), so perhaps one of the servers was sick and/or didn't properly wash his/her hands. I'm not sure exactly what the cause, but I'm pretty confident something at this restaurant was the cause, so I do not think I will be returning there in the future.",1.0
I was there on Mother's Day. What a horrible experience I had we had a table of 14 people we didn't get a waiter until 45 minutes and only 4 waters on the table. He came and got the order from us  and when he came back a 1 hour and half later the food was cold and it was all wrong. The pit bread was hard has a rock the pasta was cold and the rib steak was all fat. Then I notice that the board of health grade was pending. If I would have seen that I would have never went in. Also table was not good for us for 14 people. Do not go to this place at all. That night 6 people of my family were sick from the food it was very bad.,1.0
"The worst food i ever had. 

First of all i went there in person to have it to go. They looked me in a disgusting look. 

Secondly when i placed the order with them they seem like they were in a rush to serve customers when there's no one in the restaurant.  

Third when i got the food the soup base was cold and i asked them why is the soup cold isn't it supposed to be hot? 

Fourth when i brought it back home i found out they messed up with my order i told them no avocados and wassbi bc i was allergic.  I didn't know the sauce was wassbi. 

Fifth me and my god sis end up getting sick.  Diaherra all night and also this morning. 

Service sucks and food wasn't fresh. Stay away",1.0
"just something about this place make me feel sick after dinning at Local 92,i found hair in my pasta,and returned the dish wright away,i got a fish entrée after,and finished in hospital that same night",1.0
"Well first off I orders for delivery for my little brother I added a tip on seamless and the delivery guy tells my brother give me tip and walks into our front door. 
Okay whatever I get ready to eat and as I'm eating it has a funky taste. 1 hour later I felt very sick had stomach pains. The food was disgusting I don't recommend anyone eating here . The Sushi didn't even stick together and might I mention I ordered on seamless and they forgot 1 roll not even worth my time to order again discusting.",1.0
"This place has given my co-workers food poisoning on multiple occasions. I have actually called the restaurant to let them know and they apologized but haven't done anything to address it, as it's happened multiple times in the past few months.   The food poisoning has been caused by items at the sushi bar, the salad bar (dressing) and items from the buffet.",1.0
"This place used to be good but last night we were a table of 6 and wanted hotpot. The soup base came however the food we ordered took forever to come. Our soup base was boiled to where it is half gone. The utensils by the sauce table was so dirty. There were still leftover food stuck on the utensils!! The sauce table was so dirty and messy. 

The soup base used to have flavor however we ordered the bone soup and it was literally clear like water and lacked flavor. A few of us ended up having diarrhea. I will not be coming back!",1.0
"Food here was mediocre at best.

We got the oysters and asked for lime, but they wouldn't give it to us ""because that's what the ssam cocktail sauce is for."" It wasn't great and when we asked for hot sauce, they said they only had sriracha or the house made ssam sauce (which isn't spicy).

We also god the pork buns, but it was really greasy and bland. Tried adding the ssam sauce, but it's kind of overwhelmingly salty. 

Lastly, we got the tempura soft shelled crab which was the most delicious dish at our meal. Would've benefited if there was something spicy like jalapeños in it, though. 

Immediately after our meal, my sister and I got the worst food poisoning of our lives and we're still trying to recover. I knew better than to trust oysters in the city.",1.0
"My family has ordered from this place regularly but after the last THREE times of trying to hope for the best, we will not order from them again. The owner really needs to regroup and check for quality and freshness. You have made us sick! The gauc had spoiled avocados. Your chicken burrito was cold and tasteless. And your tortilla soup, which is the best ever until now, was not spicy and just a bowl of slop.",1.0
"Ooooch I hate leaving terrible reviews and usually I prefer to say nothing, but this was a pretty subpar experience. 

I chose this place for an early Saturday dinner, based on its sidewalk appeal and its 4.7 google review. Our waitress was very sweet, and the service was not bad. However, the prices are a little high for what you get - small portions and okay food. There are so many more wonderful places in the neighborhood...

And, I'm not 100% sure it was because of the food here, but both of us were sick upon returning home. It's always hard to pinpoint the exact cause, but it seems likely. Either way, we won't be back. 

Two stars because the wine was great.",1.0
"This place made my wife and I sick. It happens. But the worst part is that when I told them about it, they said it wasn't their fault because no one else complained, therefore we must not really be sick. I was told we ate the same things as everyone else, which is not true since we ordered a la carte items in addition to the omakase. I was condescended to on the phone, accused of lying and treated like garbage. The sushi chef was great, I don't blame him, but the management of this place is terrible. Will never go back for that reason, and must recommend that you can find sushi as good other places without being treated so poorly. Caveat emptor!",1.0
"Having previously been to the Chelsea location and enjoyed the food, I was pleased to see Ootoya open a Greenwich village outpost. There were many positives from our experience - the ability to get a reservation for 13 on a Saturday night - a spacious and comfortable settings, generally tasty food (chicken meatball and beef yakitori, along with the egg custard side dish were the highlights for me), but a few big negatives really tainted the experience for us, and make it impossible for me to give this restaurant a high rating:
1) A friend arrived with an almost full tea drink from another cafe and the restaurant made a huge fuss about it and basically confiscated it. I get that this is a pretty standard policy at a lot of restaurants, but the way it was handled pretty much ensured the evening got off on the wrong foot
2) For our table of 13 the food more or less came out 1 at a time. As the first person to be served, I was initially reluctant to start eating given the majority of the people didnt have any food in front of them. After waiting a good ten minutes, with only half the table having been served, I reluctantly started to eat for fear of my food getting cold. I'm pretty glad I didnt wait, given that it was probably a full 20+ minutes after my food was served that the final person got their dish.I know I would have trouble serving a party of 13 simultaneously, but then I'm not a professional chef running a restaurant kitchen.
3) At least 6 people at our group felt somewhat sick after eating the first course. Two of them had to get up and leave shortly after their entrees arrived, having left them untouched. Its a little difficult to diagnose exactly what caused this, but the restaurant was completely unapologetic and unsympathetic about it.",1.0
"Horrible Vietnamese food. Do not eat here my gf and I got real sick.
Stomach will rumble and made my tummy hurt for couple hours. Pho broth taste too sweet feel like missing couple ingredients maybe anise. The worst is Com Tam grilled pork broken rice and they don't served with broken rice wtf. The chicken curry is bland and potatoes smell rotten. I would never eat here in my life again I would give it negative 2 stars if I could. They should reevaluate there menu or find a new chef they need help here.",1.0
"Nice looking restaurant. Very nice staff. Food was good in the restaurant but was sick all night and the next morning after. Only had one cocktail that night at the restaurant. Maybe it was something else but only ate a bagel that morning.

Anyway, a lot of the complaints are that the portions are too small for a high price. I thought that the size was appropriate for each dish.

We started with the guacamole. It was simple guac but still tasty. Nothing that you couldn't make at home.

Had asparagus, burrata, bean salad, tamal, and meringue husk desert. The meringue husk was pretty to look at and had an interesting taste. Expect a salty taste though. 

Mostly 3 stars just bc being sick was aggravating and we tried an asparagus dish at the nomad restaurant which tasted better. The drinks were good, we tried paloma and margharita. Worth a try, I'm sure my experience wasn't the norm.",1.0
I w'll never recommend this place to nobody...!! Firstable it is not authentic peruvian food and second it is not fresh and tasteless and third we get sick very badly.... PLEASE  guys..BEWARE WITH THE FOOD..!!!,1.0
"took over an hour for the delivery... I got the chicken parm on Spaghetti... the chicken part was ok, but the pasta was way bland... been feeling sick ever since I ate it (as is my wife), this will be one place we never order from again!  burp!",1.0
bacon cream cheese that got my wife and I sick as dogs for 36 hours.  have not returned since...obviously.,1.0
"My husband and I tried out this restaurant because this restaurant had such high reviews but the whole experience was horrible + it was CASH ONLY. The food was terrible, the customer service was terrible and we left sick and hungry.",1.0
